Time(s),Force_mag (N),Angle,
1.6797e-05,0,2.65164,
0.00228267,0,2.65164,
0.0104453,0,2.65164,
0.0188175,0,2.65164,
0.0271317,0,2.65164,
0.0354812,0,2.65164,
0.0438445,0,2.65164,
0.0521682,0,2.65164,
0.0604973,0,2.65164,
0.0688102,0,2.65164,
0.077206,0,2.65164,
0.085496,0,2.65164,
0.0938548,0,2.65164,
0.102172,0,2.65164,
0.110516,0,2.65164,
0.118837,0,2.65164,
0.127182,0,2.65164,
0.135522,0,2.65164,
0.143831,0,2.65164,
0.152179,0,2.65164,
0.160505,0,2.65164,
0.168851,0,2.65164,
0.17718,0,2.65164,
0.185517,0,2.65164,
0.193849,0,2.65164,
0.202209,0,2.65164,
0.210515,0,2.65164,
0.218872,0,2.65164,
0.227239,0,2.65164,
0.235579,0,2.65164,
0.2439,0,2.65164,
0.252204,0,2.65164,
0.260576,0,2.65164,
0.268873,0,2.65164,
0.277244,0,2.65164,
0.28559,0,2.65164,
0.293908,0,2.65164,
0.302257,0,2.65164,
0.310579,0,2.65164,
0.318927,0,2.65164,
0.327213,0,2.65164,
0.335559,0,2.65164,
0.343914,0,2.65164,
0.352264,0,2.65164,
0.360584,0,2.65164,
0.368927,0,2.65164,
0.377251,0,2.65164,
0.385605,0,2.65164,
0.393924,0,2.65164,
0.402273,0,2.65164,
0.410592,0,2.65164,
0.418942,0,2.65164,
0.427266,0,2.65164,
0.435614,0,2.65164,
0.443937,0,2.65164,
0.452278,0,2.65164,
0.460608,0,2.65164,
0.468949,0,2.65164,
0.477268,0,2.65164,
0.485621,0,2.65164,
0.493946,0,2.65164,
0.502281,0,2.65164,
0.510617,0,2.65164,
0.518948,0,2.65164,
0.527237,0,2.65164,
0.535516,0,2.65164,
0.543857,0,2.65164,
0.552196,0,2.65164,
0.560527,0,2.65164,
0.568861,0,2.65164,
0.5772,0,2.65164,
0.58553,0,2.65164,
0.593902,0,2.65164,
0.602222,0,2.65164,
0.610585,0,2.65164,
0.618956,0,2.65164,
0.627286,0,2.65164,
0.635624,0,2.65164,
0.643965,0,2.65164,
0.652303,0,2.65164,
0.660635,0,2.65164,
0.66897,0,2.65164,
0.677246,0,2.96437,
0.685592,0,2.96437,
