Time(s),X,Y,
1.6797e-05,0,0,
0.00228267,0,0,
0.0104453,0,0,
0.0188175,0,0,
0.0271317,0,0,
0.0354812,0,0,
0.0438445,0,0,
0.0521682,0,0,
0.0604973,0,0,
0.0688102,0,0,
0.077206,0,0,
0.085496,0,0,
0.0938548,0,0,
0.102172,0,0,
0.110516,0,0,
0.118837,0,0,
0.127182,0,0,
0.135522,0,0,
0.143831,0,0,
0.152179,0,0,
0.160505,0,0,
0.168851,0,0,
0.17718,0,0,
0.185517,0,0,
0.193849,0,0,
0.202209,0,0,
0.210515,0,0,
0.218872,0,0,
0.227239,0,0,
0.235579,0,0,
0.2439,0,0,
0.252204,0,0,
0.260576,0,0,
0.268873,0,0,
0.277244,0,0,
0.28559,0,0,
0.293908,0,0,
0.302257,0,0,
0.310579,0,0,
0.318927,0,0,
0.327213,0,0,
0.335559,0,0,
0.343914,0,0,
0.352264,0,0,
0.360584,0,0,
0.368927,0,0,
0.377251,0,0,
0.385605,0,0,
0.393924,0,0,
0.402273,0,0,
0.410592,0,0,
0.418942,0,0,
0.427266,0,0,
0.435614,0,0,
0.443937,0,0,
0.452278,0,0,
0.460608,0,0,
0.468949,0,0,
0.477268,0,0,
0.485621,0,0,
0.493946,0,0,
0.502281,0,0,
0.510617,0,0,
0.518948,0,0,
0.527237,0,0,
0.535516,0,0,
0.543857,0,0,
0.552196,0,0,
0.560527,0,0,
0.568861,0,0,
0.5772,0,0,
0.58553,0,0,
0.593902,0,0,
0.602222,0,0,
0.610585,0,0,
0.618956,0,0,
0.627286,0,0,
0.635624,0,0,
0.643965,0,0,
0.652303,0,0,
0.660635,0,0,
0.66897,0,0,
0.677246,1.35833,2.9,
0.685592,1.35833,2.9,
0.693963,1.35833,2.9,
0.702311,1.35833,2.9,
0.710637,1.35833,2.9,
0.718966,1.35833,2.9,
0.727308,1.35833,2.9,
0.735651,1.35833,2.9,
0.743996,1.35833,2.9,
0.75232,1.35833,2.9,
0.760607,1.35833,2.9,
0.769023,1.35833,2.9,
0.777311,1.35833,2.9,
0.785656,1.35833,2.9,
0.793986,1.35833,2.9,
0.802336,1.35833,2.9,
0.810607,1.35833,2.9,
0.818942,1.35833,2.9,
0.827319,1.35833,2.9,
0.835651,1.35833,2.9,
0.843989,1.35833,2.9,
0.852324,1.35833,2.9,
0.860651,1.35833,2.9,
0.868993,1.35833,2.9,
0.877312,1.35833,2.9,
0.885627,1.35833,2.9,
0.89399,1.35833,2.9,
0.902337,1.35833,2.9,
0.910659,1.35833,2.9,
0.919,1.35833,2.9,
0.927326,1.35833,2.9,
0.935663,1.35833,2.9,
0.943996,1.35833,2.9,
0.952346,1.35833,2.9,
0.960665,1.35833,2.9,
0.969005,1.35833,2.9,
0.977337,1.35833,2.9,
0.985684,1.35833,2.9,
0.994002,1.35833,2.9,
1.00235,1.35833,2.9,
1.01067,1.35833,2.9,
1.01901,1.35833,2.9,
1.02734,1.35833,2.9,
1.03569,1.35833,2.9,
1.04398,1.35833,2.9,
1.05235,1.35833,2.9,
1.06068,1.35833,2.9,
1.069,1.35833,2.9,
1.07735,1.35833,2.9,
1.08569,1.35833,2.9,
1.09401,1.35833,2.9,
1.10236,1.35833,2.9,
1.11069,1.35833,2.9,
1.11902,1.35833,2.9,
1.12736,1.35833,2.9,
1.13569,1.35833,2.9,
1.144,1.35833,2.9,
1.15236,1.35833,2.9,
1.16066,1.35833,2.9,
1.16903,1.35833,2.9,
1.17733,1.35833,2.9,
1.18571,1.35833,2.9,
1.194,1.35833,2.9,
1.20237,1.35833,2.9,
1.21067,1.35833,2.9,
1.21904,1.35833,2.9,
1.22736,1.35833,2.9,
1.2357,1.35833,2.9,
1.24404,1.35833,2.9,
1.25238,1.35833,2.9,
1.26067,1.35833,2.9,
1.26905,1.35833,2.9,
1.27738,1.35833,2.9,
1.28572,1.35833,2.9,
1.29402,1.35833,2.9,
1.30238,1.35833,2.9,
1.31071,1.35833,2.9,
1.31905,1.35833,2.9,
1.32738,1.35833,2.9,
1.33572,1.35833,2.9,
1.34398,1.35833,2.9,
1.35231,1.35833,2.9,
1.36063,1.35833,2.9,
1.36898,1.35833,2.9,
1.37735,1.35833,2.9,
1.38572,1.35833,2.9,
1.39406,1.35833,2.9,
1.4024,1.35833,2.9,
1.41073,1.35833,2.9,
1.41902,1.35833,2.9,
1.4274,1.35833,2.9,
1.43574,1.35833,2.9,
1.44407,1.35833,2.9,
1.45241,1.35833,2.9,
1.46074,1.35833,2.9,
1.46907,1.35833,2.9,
1.4774,1.35833,2.9,
1.48568,1.35833,2.9,
1.49399,1.35833,2.9,
1.50236,1.35833,2.9,
1.51075,1.35833,2.9,
1.51908,1.35833,2.9,
1.52741,1.35833,2.9,
1.53576,1.35833,2.9,
1.54408,1.35833,2.9,
1.55241,1.35833,2.9,
1.56075,1.35833,2.9,
1.56904,1.35833,2.9,
1.57741,1.35833,2.9,
1.58571,1.35833,2.9,
1.59409,1.35833,2.9,
1.60244,1.35833,2.9,
1.61075,1.35833,2.9,
1.6191,1.35833,2.9,
1.62745,1.35833,2.9,
1.63576,1.35833,2.9,
1.6441,1.35833,2.9,
1.65245,1.35833,2.9,
1.66125,1.35833,2.9,
1.66906,1.35833,2.9,
1.6774,1.35833,2.9,
1.68573,1.35833,2.9,
1.69411,1.35833,2.9,
1.70239,1.35833,2.9,
1.71077,1.35833,2.9,
1.71905,1.35833,2.9,
1.72747,1.35833,2.9,
1.73578,1.35833,2.9,
1.74411,1.35833,2.9,
1.75246,1.35833,2.9,
1.76078,1.35833,2.9,
1.76911,1.35833,2.9,
1.77748,1.35833,2.9,
1.78573,1.35833,2.9,
1.79412,1.35833,2.9,
1.8024,1.35833,2.9,
1.81074,1.35833,2.9,
1.81907,1.35833,2.9,
