Time(s),X,Y,
1.6797e-05,0,0,
0.00228267,0,0,
0.0104453,0,0,
0.0188175,0,0,
0.0271317,0,0,
0.0354812,0,0,
0.0438445,0,0,
0.0521682,0,0,
0.0604973,0,0,
0.0688102,0,0,
0.077206,0,0,
0.085496,0,0,
0.0938548,0,0,
0.102172,0,0,
0.110516,0,0,
0.118837,0,0,
0.127182,0,0,
0.135522,0,0,
0.143831,0,0,
0.152179,0,0,
0.160505,0,0,
0.168851,0,0,
0.17718,0,0,
0.185517,0,0,
0.193849,0,0,
0.202209,0,0,
0.210515,0,0,
0.218872,0,0,
0.227239,0,0,
0.235579,0,0,
0.2439,0,0,
0.252204,0,0,
0.260576,0,0,
0.268873,0,0,
0.277244,0,0,
0.28559,0,0,
0.293908,0,0,
0.302257,0,0,
0.310579,0,0,
0.318927,0,0,
0.327213,0,0,
0.335559,0,0,
0.343914,0,0,
0.352264,0,0,
0.360584,0,0,
0.368927,0,0,
0.377251,0,0,
0.385605,0,0,
0.393924,0,0,
0.402273,0,0,
0.410592,0,0,
0.418942,0,0,
0.427266,0,0,
0.435614,0,0,
0.443937,0,0,
0.452278,0,0,
0.460608,0,0,
0.468949,0,0,
0.477268,0,0,
0.485621,0,0,
0.493946,0,0,
0.502281,0,0,
0.510617,0,0,
0.518948,0,0,
0.527237,0,0,
0.535516,0,0,
0.543857,0,0,
0.552196,0,0,
0.560527,0,0,
0.568861,0,0,
0.5772,0,0,
0.58553,0,0,
0.593902,0,0,
0.602222,0,0,
0.610585,0,0,
0.618956,0,0,
0.627286,0,0,
0.635624,0,0,
0.643965,0,0,
0.652303,0,0,
0.660635,0,0,
0.66897,0,0,
0.677246,0,0,
0.685592,0,0,
0.693963,0,0,
0.702311,0,0,
0.710637,0,0,
0.718966,0,0,
0.727308,0,0,
0.735651,0,0,
0.743996,0,0,
0.75232,0,0,
0.760607,0,0,
0.769023,0,0,
0.777311,0,0,
0.785656,0,0,
0.793986,0,0,
0.802336,0,0,
0.810607,0,0,
0.818942,0,0,
0.827319,0,0,
0.835651,0,0,
0.843989,0,0,
0.852324,0,0,
0.860651,0,0,
0.868993,0,0,
0.877312,0,0,
0.885627,0,0,
0.89399,0,0,
0.902337,0,0,
0.910659,0,0,
0.919,0,0,
0.927326,0,0,
0.935663,0,0,
0.943996,0,0,
0.952346,0,0,
0.960665,0,0,
0.969005,0,0,
0.977337,0,0,
0.985684,0,0,
0.994002,0,0,
1.00235,0,0,
1.01067,0,0,
1.01901,0,0,
1.02734,0,0,
1.03569,0,0,
1.04398,0,0,
1.05235,0,0,
1.06068,0,0,
1.069,0,0,
1.07735,0,0,
1.08569,0,0,
1.09401,0,0,
1.10236,0,0,
1.11069,0,0,
1.11902,0,0,
1.12736,0,0,
1.13569,0,0,
1.144,0,0,
1.15236,0,0,
1.16066,0,0,
1.16903,0,0,
1.17733,0,0,
1.18571,0,0,
1.194,0,0,
1.20237,0,0,
1.21067,0,0,
1.21904,0,0,
1.22736,0,0,
1.2357,0,0,
1.24404,0,0,
1.25238,0,0,
1.26067,0,0,
1.26905,0,0,
1.27738,0,0,
1.28572,0,0,
1.29402,0,0,
1.30238,0,0,
1.31071,0,0,
1.31905,0,0,
1.32738,0,0,
1.33572,0,0,
1.34398,0,0,
1.35231,0,0,
1.36063,0,0,
1.36898,0,0,
1.37735,0,0,
1.38572,0,0,
1.39406,0,0,
1.4024,0,0,
1.41073,0,0,
1.41902,0,0,
1.4274,0,0,
1.43574,0,0,
1.44407,0,0,
1.45241,0,0,
1.46074,0,0,
1.46907,0,0,
1.4774,0,0,
1.48568,0,0,
1.49399,0,0,
1.50236,0,0,
1.51075,0,0,
1.51908,0,0,
1.52741,0,0,
1.53576,0,0,
1.54408,0,0,
1.55241,0,0,
1.56075,0,0,
1.56904,0,0,
1.57741,0,0,
1.58571,0,0,
1.59409,0,0,
1.60244,0,0,
1.61075,0,0,
1.6191,0,0,
1.62745,0,0,
1.63576,0,0,
1.6441,0,0,
1.65245,0,0,
1.66125,0,0,
1.66906,0,0,
1.6774,0,0,
1.68573,0,0,
1.69411,0,0,
1.70239,0,0,
1.71077,0,0,
1.71905,0,0,
1.72747,0,0,
1.73578,0,0,
1.74411,0,0,
1.75246,0,0,
1.76078,0,0,
1.76911,0,0,
1.77748,0,0,
1.78573,0,0,
1.79412,0,0,
1.8024,0,0,
1.81074,0,0,
1.81907,0,0,
1.82739,0,0,
1.83572,0,0,
1.84408,0,0,
1.85241,0,0,
1.86074,0,0,
1.86908,0,0,
1.87744,0,0,
1.88575,0,0,
1.89409,0,0,
1.90246,0,0,
1.9108,0,0,
1.91912,0,0,
1.92748,0,0,
1.93579,0,0,
1.94414,0,0,
1.9525,0,0,
1.96078,0,0,
1.96913,0,0,
1.97748,0,0,
1.98576,0,0,
1.99414,0,0,
2.00243,0,0,
2.01081,0,0,
2.01912,0,0,
2.02753,0,0,
2.03583,0,0,
2.04417,0,0,
2.05247,0,0,
2.06083,0,0,
2.06916,0,0,
2.07754,0,0,
2.08584,0,0,
2.09417,0,0,
2.10248,0,0,
2.11084,0,0,
2.11919,0,0,
2.12757,0,0,
2.13583,0,0,
2.14422,0,0,
2.15253,0,0,
2.16089,0,0,
2.16918,0,0,
2.17757,0,0,
2.18585,0,0,
2.1942,0,0,
2.20251,0,0,
2.21091,0,0,
2.21918,0,0,
2.2276,0,0,
2.23588,0,0,
2.24426,0,0,
2.25253,0,0,
2.26092,0,0,
2.26921,0,0,
2.27759,0,0,
2.28586,0,0,
2.29427,0,0,
2.30252,0,0,
2.31089,0,0,
2.3192,0,0,
2.3276,0,0,
2.33587,0,0,
2.34426,0,0,
2.35254,0,0,
2.36093,0,0,
2.36921,0,0,
2.37761,0,0,
2.38587,0,0,
2.39428,0,0,
